product_name,alcohol_percentage
cecchi-la-mora-vermentino,12.5
settesoli-fiano,12.5
hardys-bin-141-colombard-chardonnay,12.5
mirabeau-aix-en-provence,12.5
stormhoek-pinot-grigio,12.5
antonin-rodet-bourgogne-chardonnay,12.5
flaxbourne-sauvignon-blanc,12.5
chateau-la-gordonne-rose,12.5
cotes-de-provence-beach-rose,12.5
pommery-champagne-brut-royal,12.5
vin-de-pays-d-oc-vin-rouge,12.5
slurp-sweet,12.5
chloss-garnacha-natural,12.5
la-tulipe-rose,12.5
undurraga-sauvignon-blanc,12.5
ah-excellent-selectie-coteaux-bourguignons,12.5
moncaro-montepulciano,12.5
argento-minimalista-pinot-grigio,12.5
tardia-sweet-red-wine,12.5
mastri-vernacoli-pinot-bianco,12.5
moncaro-verdicchio-dei-castelli-di-jesi,12.5
antonin-rodet-vin-de-france-pinot-noir,12.5
pommery-champagne-noir,12.5
winemaker-s-lot-chardonnay,12.5
rodet-chablis,12.5
antonin-rodet-rodet-bourgogne-pinot-noir,12.5
veuve-clicquot-champagne-brut-rose,12.5
mirabeau-etoile-rose,12.5
slurp-chardonnay,12.5
valdivieso-patagon-tinto,12.5
moncaro-marche-rosato,12.5
fat-bastard-chardonnay,12.5
pommery-brut-rose,12.5
antonin-rodet-saint-veran,12.5
cono-sur-reserva-especial-sauvignon-blanc,12.5
les-hautes-pentes-cinsault-syrah-rose,12.5
langlois-cremant-de-loire-brut-rose,12.5
grain-d-azur-provence-rose,12.5
wild-pig-chardonnay,12.5
hardys-crest-chardonnay-sauvignon-blanc,12.5
recit-de-provence-cotes-de-provence,12.5
de-chanceny-vouvray-brut-excellence,12.5
listel-rose,12.5
undurraga-chardonnay,12.5
mastri-vernacoli-pinot-grigio-rosato,12.5
pommery-dry-elixir,12.5
planeta-rose,12.5
jean-dumont-pouilly-fume,12.5
arrogant-frog-gris-de-gris,12.5
le-bijou-de-sophie-valrose-rose,12.5
mooi-kaap-rose,12.5
cuvee-tapie-rose,12.5
les-folies-menetou-salon-les-folies-blanc,12.5
valdivieso-sparkling-brut,12.5
langlois-cremant-de-loire-brut,12.5
daschbosch-skin-contact-2022,12.5
torres-vina-sol-rose,12.5
antonin-rodet-rodet-macon-villages-blanc,12.5
mastri-vernacoli-pinot-grigio,12.5
cave-de-beblenheim-aoc-alsace-pinot-gris,12.5
porcupine-ridge-sauvignon-blanc,12.5
baglio-di-grisi-grillo-siciliane,12.5
adobe-sauvignon-blanc-reserva,12.5
la-tulipe-chardonnay,12.5
brancott-estate-sauvignon-blanc,12.5
fattoria-del-cerro-vermentino,12.5
coral-de-penascal-ethical-rose,12.5
puklavec-en-friends-sauvignon-blanc-chardonnay,12.5
frontera-carmenere-cabernet-sauvignon,12.5
antonin-rodet-vin-de-france-chardonnay,12.5
